medulla oblongata
pons
cerebellum
thalamic complex
hypothalamus
pituitary gland
Ammon's horn
amygdala
basal ganglion
olfactory lobe
frontal lobe
parietal lobe
occipital lobe
temporal lobe
cingulate cortex
midbrain
substantia nigra
motor neuron
sensory neuron
interneuron
epithalamus
astrocyte
Schwann cell
microglial cell
