"ee.Taxon","Definition.x","Definition.y","N"
"mouse","amyotrophic lateral sclerosis","corpus striatum",3
"mouse","amyotrophic lateral sclerosis","cerebral subcortex",3
"mouse","amyotrophic lateral sclerosis","basal ganglion",3
"mouse","amyotrophic lateral sclerosis","striatum",3
"mouse","amyotrophic lateral sclerosis","basal forebrain",3
"mouse","amyotrophic lateral sclerosis","basal nuclear complex",3
"mouse","amyotrophic lateral sclerosis","aggregate regional part of brain",3
"mouse","amyotrophic lateral sclerosis","collection of basal ganglia",3
"human","central nervous system disease","CA3 field of hippocampus",3
"human","nervous system disease","CA3 field of hippocampus",3
"human","central nervous system benign neoplasm","cerebral hemisphere",3
"human","central nervous system benign neoplasm","forebrain",3
"human","central nervous system benign neoplasm","telencephalon",3
"human","central nervous system benign neoplasm","regional part of brain",3
"human","benign glioma","brain",3
"human","spinal cord disease","brain",3
"human","benign ependymoma","brain",3
"human","pilocytic astrocytoma","cerebral hemisphere",3
"human","pilocytic astrocytoma","forebrain",3
"human","pilocytic astrocytoma","telencephalon",3
"mouse","hereditary ataxia","brain gray matter",3
"rat","neurodegenerative disease","neuron associated cell",3
"rat","central nervous system disease","neuron associated cell",3
"rat","nervous system disease","neuron associated cell",3
"mouse","neurodegenerative disease","choroid plexus",3
"mouse","neurodegenerative disease","brain ventricle/choroid plexus",3
"mouse","neurodegenerative disease","brain ventricle",3
"mouse","neurodegenerative disease","ventricular system of brain",3
"mouse","central nervous system disease","choroid plexus",3
"mouse","central nervous system disease","brain ventricle/choroid plexus",3
"mouse","central nervous system disease","brain ventricle",3
"mouse","central nervous system disease","ventricular system of brain",3
"mouse","nervous system disease","choroid plexus",3
"mouse","nervous system disease","brain ventricle/choroid plexus",3
"mouse","nervous system disease","brain ventricle",3
"mouse","nervous system disease","ventricular system of brain",3
"mouse","neurodegenerative disease","CA3 field of hippocampus",3
"mouse","central nervous system disease","CA3 field of hippocampus",3
"mouse","nervous system disease","CA3 field of hippocampus",3
"mouse","hereditary ataxia","brainstem",3
"mouse","autosomal dominant cerebellar ataxia","brainstem",3
"mouse","neurodegenerative disease","spinal cord motor neuron",3
"mouse","motor neuron disease","spinal cord motor neuron",3
"mouse","central nervous system disease","spinal cord motor neuron",3
"mouse","amyotrophic lateral sclerosis","central nervous system neuron",3
"mouse","nervous system disease","spinal cord motor neuron",3
"mouse","spinal muscular atrophy","brain",3
"mouse","neurodegenerative disease","dentate gyrus of hippocampal formation",3
"mouse","brain infarction","forebrain",3
"mouse","brain infarction","regional part of brain",3
"mouse","middle cerebral artery infarction","forebrain",3
"mouse","middle cerebral artery infarction","regional part of brain",3
"mouse","cerebral infarction","forebrain",3
"mouse","cerebral infarction","regional part of brain",3
"mouse","motor neuron disease","macroglial cell",3
"mouse","motor neuron disease","astrocyte",3
"mouse","amyotrophic lateral sclerosis","macroglial cell",3
"mouse","amyotrophic lateral sclerosis","astrocyte",3
"human","hepatic encephalopathy","brain",3
"human","hepatic encephalopathy","cerebral hemisphere",3
"human","hepatic encephalopathy","forebrain",3
"human","hepatic encephalopathy","telencephalon",3
"human","hepatic encephalopathy","regional part of brain",3
"mouse","Alzheimer's disease","CA1 field of hippocampus",3
"mouse","tauopathy","CA1 field of hippocampus",3
"mouse","Alzheimer's disease","neuron",3
"mouse","tauopathy","neuron",3
"mouse","multiple sclerosis","regional part of brain",3
"mouse","demyelinating disease","regional part of brain",3
"mouse","hereditary ataxia","forebrain",2
"mouse","autosomal dominant cerebellar ataxia","forebrain",2
"rat","synucleinopathy","midbrain",2
"rat","synucleinopathy","midbrain tegmentum",2
"rat","synucleinopathy","substantia nigra pars compacta",2
"rat","synucleinopathy","substantia nigra",2
"rat","synucleinopathy","brainstem",2
"rat","synucleinopathy","nucleus of brain",2
"rat","synucleinopathy","ventral tegmental area",2
"rat","synucleinopathy","midbrain nucleus",2
"rat","neurodegenerative disease","midbrain",2
"rat","neurodegenerative disease","midbrain tegmentum",2
"rat","neurodegenerative disease","substantia nigra pars compacta",2
"rat","neurodegenerative disease","substantia nigra",2
"rat","neurodegenerative disease","brainstem",2
"rat","neurodegenerative disease","nucleus of brain",2
"rat","neurodegenerative disease","ventral tegmental area",2
"rat","neurodegenerative disease","midbrain nucleus",2
"rat","Parkinson's disease","midbrain",2
"rat","Parkinson's disease","midbrain tegmentum",2
"rat","Parkinson's disease","substantia nigra pars compacta",2
"rat","Parkinson's disease","substantia nigra",2
"rat","Parkinson's disease","brainstem",2
"rat","Parkinson's disease","nucleus of brain",2
"rat","Parkinson's disease","ventral tegmental area",2
"rat","Parkinson's disease","midbrain nucleus",2
"rat","central nervous system disease","midbrain",2
"rat","central nervous system disease","midbrain tegmentum",2
"rat","central nervous system disease","substantia nigra pars compacta",2
"rat","central nervous system disease","substantia nigra",2
"rat","central nervous system disease","nucleus of brain",2
"rat","central nervous system disease","ventral tegmental area",2
"rat","central nervous system disease","midbrain nucleus",2
"rat","nervous system disease","midbrain",2
"rat","nervous system disease","midbrain tegmentum",2
"rat","nervous system disease","substantia nigra pars compacta",2
"rat","nervous system disease","substantia nigra",2
"rat","nervous system disease","nucleus of brain",2
"rat","nervous system disease","ventral tegmental area",2
"rat","nervous system disease","midbrain nucleus",2
"human","central nervous system disease","CNS neuron (sensu Vertebrata)",2
"human","nervous system disease","CNS neuron (sensu Vertebrata)",2
"human","brain cancer","frontal cortex",2
"human","brain cancer","temporal lobe",2
"human","brain cancer","diencephalon",2
"human","brain cancer","thalamic complex",2
"human","brain cancer","cortex of cerebral lobe",2
"human","brain cancer","gray matter of diencephalon",2
"human","glioblastoma multiforme","frontal cortex",2
"human","glioblastoma multiforme","temporal lobe",2
"human","glioblastoma multiforme","neocortex",2
"human","glioblastoma multiforme","cortex of cerebral lobe",2
"human","astrocytoma","frontal cortex",2
"human","astrocytoma","temporal lobe",2
"human","astrocytoma","neocortex",2
"human","astrocytoma","cortex of cerebral lobe",2
"human","malignant glioma","frontal cortex",2
"human","malignant glioma","temporal lobe",2
"human","malignant glioma","diencephalon",2
"human","malignant glioma","neocortex",2
"human","malignant glioma","thalamic complex",2
"human","malignant glioma","cortex of cerebral lobe",2
"human","malignant glioma","gray matter of diencephalon",2
"human","grade III astrocytoma","pallium",2
"human","grade III astrocytoma","cerebral cortex",2
"human","grade III astrocytoma","metencephalon",2
"human","grade III astrocytoma","hindbrain",2
"human","grade III astrocytoma","cerebellum",2
"human","grade III astrocytoma","brain gray matter",2
"human","grade III astrocytoma","segmental subdivision of hindbrain",2
"human","grade III astrocytoma","cerebral hemisphere gray matter",2
"human","grade III astrocytoma","gray matter of telencephalon",2
"human","grade III astrocytoma","gray matter of forebrain",2
"human","central nervous system disease","cerebellar hemisphere",2
"human","central nervous system disease","regional part of cerebellar cortex",2
"human","central nervous system disease","left temporal lobe",2
"human","central nervous system disease","left cerebral hemisphere",2
"human","central nervous system cancer","frontal cortex",2
"human","central nervous system cancer","temporal lobe",2
"human","central nervous system cancer","diencephalon",2
"human","central nervous system cancer","thalamic complex",2
"human","central nervous system cancer","cortex of cerebral lobe",2
"human","central nervous system cancer","gray matter of diencephalon",2
"human","nervous system disease","cerebellar hemisphere",2
"human","nervous system disease","regional part of cerebellar cortex",2
"human","nervous system disease","left temporal lobe",2
"human","nervous system disease","left cerebral hemisphere",2
"human","brain disease","dorsal plus ventral thalamus",2
"mouse","prion disease","diencephalon",2
"mouse","prion disease","thalamic complex",2
"mouse","prion disease","gray matter of diencephalon",2
"mouse","brain disease","diencephalon",2
"mouse","brain disease","thalamic complex",2
"mouse","brain disease","gray matter of diencephalon",2
"human","Huntington's disease","caudate nucleus",2
"human","Huntington's disease","nucleus of brain",2
"human","Huntington's disease","dorsal striatum",2
"human","Huntington's disease","caudate-putamen",2
"human","Huntington's disease","telencephalic nucleus",2
"human","neurodegenerative disease","Brodmann area",2
"human","neurodegenerative disease","Brodmann (1909) area 9",2
"human","central nervous system disease","Brodmann area",2
"human","central nervous system disease","Brodmann (1909) area 9",2
"human","nervous system disease","Brodmann area",2
"human","nervous system disease","Brodmann (1909) area 9",2
"rat","epilepsy","CA3 field of hippocampus",2
"rat","central nervous system disease","CNS neuron (sensu Vertebrata)",2
"rat","central nervous system disease","granule cell",2
"rat","nervous system disease","granule cell",2
"rat","brain disease","neural cell",2
"human","nervous system disease","pituitary gland",2
"human","nervous system disease","amygdala",2
"human","nervous system disease","corpus callosum",2
"human","nervous system disease","cerebral hemisphere white matter",2
"human","nervous system disease","intercerebral commissure",2
"human","nervous system disease","gland of diencephalon",2
"human","nervous system disease","dorsal telencephalic commissure",2
"human","nervous system disease","brain commissure",2
"human","nervous system disease","white matter of telencephalon",2
"human","nervous system disease","commissure of telencephalon",2
"rat","epilepsy","neocortex",2
"rat","epilepsy","cortex of cerebral lobe",2
"rat","central nervous system disease","neocortex",2
"rat","central nervous system disease","cortex of cerebral lobe",2
"rat","nervous system disease","neocortex",2
"rat","nervous system disease","cortex of cerebral lobe",2
"rat","brain disease","neocortex",2
"rat","brain disease","cortex of cerebral lobe",2
"rat","Huntington's disease","neuron",2
"rat","Huntington's disease","neural cell",2
"rat","Huntington's disease","medium spiny neuron",2
"rat","Huntington's disease","central nervous system neuron",2
"rat","neurodegenerative disease","medium spiny neuron",2
"rat","central nervous system disease","medium spiny neuron",2
"rat","nervous system disease","medium spiny neuron",2
"mouse","neurodegenerative disease","dorsal striatum",2
"mouse","neurodegenerative disease","caudate-putamen",2
"mouse","central nervous system disease","dorsal striatum",2
"mouse","central nervous system disease","caudate-putamen",2
"mouse","nervous system disease","dorsal striatum",2
"mouse","nervous system disease","caudate-putamen",2
"human","synucleinopathy","limbic system",2
"human","synucleinopathy","prefrontal cortex",2
"human","synucleinopathy","temporal lobe",2
"human","synucleinopathy","caudate nucleus",2
"human","synucleinopathy","globus pallidus",2
"human","synucleinopathy","substantia nigra pars reticulata",2
"human","synucleinopathy","medial globus pallidus",2
"human","synucleinopathy","pallidum",2
"human","synucleinopathy","gray matter of hindbrain",2
"human","neurodegenerative disease","parietal lobe",2
"human","neurodegenerative disease","globus pallidus",2
"human","neurodegenerative disease","diencephalon",2
"human","neurodegenerative disease","midbrain tegmentum",2
"human","neurodegenerative disease","substantia nigra pars reticulata",2
"human","neurodegenerative disease","cerebellar cortex",2
"human","neurodegenerative disease","medial globus pallidus",2
"human","neurodegenerative disease","pallidum",2
"human","Parkinson's disease","limbic system",2
"human","Parkinson's disease","prefrontal cortex",2
"human","Parkinson's disease","temporal lobe",2
"human","Parkinson's disease","caudate nucleus",2
"human","Parkinson's disease","globus pallidus",2
"human","Parkinson's disease","substantia nigra pars reticulata",2
"human","Parkinson's disease","medial globus pallidus",2
"human","Parkinson's disease","pallidum",2
"human","Parkinson's disease","gray matter of hindbrain",2
"human","central nervous system disease","globus pallidus",2
"human","central nervous system disease","hypothalamus",2
"human","central nervous system disease","midbrain tegmentum",2
"human","central nervous system disease","substantia nigra pars reticulata",2
"human","central nervous system disease","medial globus pallidus",2
"human","central nervous system disease","brain white matter",2
"human","central nervous system disease","pallidum",2
"human","central nervous system disease","tract of brain",2
"human","central nervous system disease","white matter of forebrain",2
"human","nervous system disease","globus pallidus",2
"human","nervous system disease","hypothalamus",2
"human","nervous system disease","midbrain tegmentum",2
"human","nervous system disease","substantia nigra pars reticulata",2
"human","nervous system disease","medial globus pallidus",2
"human","nervous system disease","pallidum",2
"human","synucleinopathy","gyrus",2
"human","synucleinopathy","frontal gyrus",2
"human","neurodegenerative disease","superior frontal gyrus",2
"human","Parkinson's disease","gyrus",2
"human","Parkinson's disease","frontal gyrus",2
"human","central nervous system disease","superior frontal gyrus",2
"human","nervous system disease","superior frontal gyrus",2
"human","frontotemporal dementia","lobe of cerebral hemisphere",2
"human","brain disease","Ammon's horn",2
"mouse","Alzheimer's disease","olfactory lobe",2
"mouse","neurodegenerative disease","olfactory lobe",2
"mouse","central nervous system disease","gyrus",2
"mouse","tauopathy","olfactory lobe",2
"mouse","nervous system disease","gyrus",2
"mouse","movement disease","brain",2
"mouse","brain cancer","metencephalon",2
"mouse","brain cancer","hindbrain",2
"mouse","brain cancer","cerebellum",2
"mouse","brain cancer","segmental subdivision of hindbrain",2
"mouse","central nervous system cancer","metencephalon",2
"mouse","central nervous system cancer","hindbrain",2
"mouse","central nervous system cancer","cerebellum",2
"mouse","central nervous system cancer","segmental subdivision of hindbrain",2
"mouse","synucleinopathy","midbrain tegmentum",2
"mouse","synucleinopathy","brainstem",2
"mouse","synucleinopathy","ventral tegmental area",2
"mouse","neurodegenerative disease","midbrain tegmentum",2
"mouse","neurodegenerative disease","ventral tegmental area",2
"mouse","Parkinson's disease","midbrain tegmentum",2
"mouse","Parkinson's disease","brainstem",2
"mouse","Parkinson's disease","ventral tegmental area",2
"mouse","central nervous system disease","midbrain tegmentum",2
"mouse","central nervous system disease","ventral tegmental area",2
"mouse","nervous system disease","midbrain tegmentum",2
"mouse","nervous system disease","ventral tegmental area",2
"human","movement disease","brain",2
"human","movement disease","cerebral hemisphere",2
"human","movement disease","temporal lobe",2
"human","movement disease","forebrain",2
"human","movement disease","telencephalon",2
"human","movement disease","regional part of brain",2
"human","movement disease","lobe of cerebral hemisphere",2
"human","progressive supranuclear palsy","brain",2
"human","progressive supranuclear palsy","cerebral hemisphere",2
"human","progressive supranuclear palsy","temporal lobe",2
"human","progressive supranuclear palsy","forebrain",2
"human","progressive supranuclear palsy","telencephalon",2
"human","progressive supranuclear palsy","regional part of brain",2
"human","progressive supranuclear palsy","lobe of cerebral hemisphere",2
"rat","Alzheimer's disease","regional part of brain",2
"rat","tauopathy","regional part of brain",2
"mouse","sensory system disease","neuron",2
"mouse","sensory system disease","neural cell",2
"mouse","sensory system disease","retinal cell",2
"mouse","eye and adnexa disease","neuron",2
"mouse","eye and adnexa disease","neural cell",2
"mouse","eye and adnexa disease","retinal cell",2
"mouse","eye disease","neuron",2
"mouse","eye disease","neural cell",2
"mouse","eye disease","retinal cell",2
"mouse","nervous system disease","sensory neuron",2
"mouse","nervous system disease","afferent neuron",2
"mouse","nervous system disease","retinal cell",2
"human","brain glioblastoma multiforme","brain",2
"human","synucleinopathy","cranial nerve nucleus",2
"human","synucleinopathy","dorsal motor nucleus of vagus nerve",2
"human","synucleinopathy","vagus nerve nucleus",2
"human","synucleinopathy","motor nucleus of vagal nerve",2
"human","neurodegenerative disease","cranial nerve nucleus",2
"human","neurodegenerative disease","dorsal motor nucleus of vagus nerve",2
"human","neurodegenerative disease","vagus nerve nucleus",2
"human","neurodegenerative disease","motor nucleus of vagal nerve",2
"human","Parkinson's disease","cranial nerve nucleus",2
"human","Parkinson's disease","dorsal motor nucleus of vagus nerve",2
"human","Parkinson's disease","vagus nerve nucleus",2
"human","Parkinson's disease","motor nucleus of vagal nerve",2
"human","central nervous system disease","cranial nerve nucleus",2
"human","central nervous system disease","dorsal motor nucleus of vagus nerve",2
"human","central nervous system disease","vagus nerve nucleus",2
"human","central nervous system disease","motor nucleus of vagal nerve",2
"human","nervous system disease","cranial nerve nucleus",2
"human","nervous system disease","dorsal motor nucleus of vagus nerve",2
"human","nervous system disease","vagus nerve nucleus",2
"human","nervous system disease","motor nucleus of vagal nerve",2
"rat","brain ischemia","limbic system",2
"rat","brain ischemia","Ammon's horn",2
"rat","brain ischemia","hippocampal formation",2
"rat","brain ischemia","limbic lobe",2
"rat","brain ischemia","lobe of cerebral hemisphere",2
"rat","cerebrovascular disease","limbic system",2
"rat","cerebrovascular disease","Ammon's horn",2
"rat","cerebrovascular disease","hippocampal formation",2
"rat","cerebrovascular disease","limbic lobe",2
"rat","cerebrovascular disease","lobe of cerebral hemisphere",2
"mouse","synucleinopathy","metencephalon",2
"mouse","synucleinopathy","cerebellum",2
"mouse","synucleinopathy","segmental subdivision of hindbrain",2
"mouse","Parkinson's disease","metencephalon",2
"mouse","Parkinson's disease","cerebellum",2
"mouse","Parkinson's disease","segmental subdivision of hindbrain",2
"human","Alzheimer's disease","frontal gyrus",2
"human","motor neuron disease","midbrain",2
"human","motor neuron disease","nucleus of brain",2
"human","motor neuron disease","midbrain nucleus",2
"human","multiple sclerosis","frontal cortex",2
"human","multiple sclerosis","neocortex",2
"human","multiple sclerosis","frontal lobe",2
"human","multiple sclerosis","lobe of cerebral hemisphere",2
"human","multiple sclerosis","cortex of cerebral lobe",2
"human","demyelinating disease","frontal cortex",2
"human","demyelinating disease","neocortex",2
"human","demyelinating disease","frontal lobe",2
"human","demyelinating disease","lobe of cerebral hemisphere",2
"human","demyelinating disease","cortex of cerebral lobe",2
"human","amyotrophic lateral sclerosis","midbrain",2
"human","amyotrophic lateral sclerosis","nucleus of brain",2
"human","amyotrophic lateral sclerosis","midbrain nucleus",2
"human","tauopathy","frontal gyrus",2
"mouse","Alzheimer's disease","frontal cortex",2
"mouse","Alzheimer's disease","neocortex",2
"mouse","Alzheimer's disease","frontal lobe",2
"mouse","Alzheimer's disease","cortex of cerebral lobe",2
"mouse","neurodegenerative disease","prefrontal cortex",2
"mouse","central nervous system disease","prefrontal cortex",2
"mouse","tauopathy","frontal cortex",2
"mouse","tauopathy","neocortex",2
"mouse","tauopathy","frontal lobe",2
"mouse","tauopathy","cortex of cerebral lobe",2
"mouse","nervous system disease","prefrontal cortex",2
"mouse","transient cerebral ischemia","brain",2
"mouse","brain ischemia","ventral part of telencephalon",2
"mouse","brain ischemia","corpus striatum",2
"mouse","brain ischemia","cerebral subcortex",2
"mouse","brain ischemia","basal ganglion",2
"mouse","brain ischemia","striatum",2
"mouse","brain ischemia","basal forebrain",2
"mouse","brain ischemia","basal nuclear complex",2
"mouse","brain ischemia","aggregate regional part of brain",2
"mouse","brain ischemia","collection of basal ganglia",2
"mouse","cerebrovascular disease","ventral part of telencephalon",2
"mouse","cerebrovascular disease","corpus striatum",2
"mouse","cerebrovascular disease","cerebral subcortex",2
"mouse","cerebrovascular disease","basal ganglion",2
"mouse","cerebrovascular disease","striatum",2
"mouse","cerebrovascular disease","basal forebrain",2
"mouse","cerebrovascular disease","basal nuclear complex",2
"mouse","cerebrovascular disease","aggregate regional part of brain",2
"mouse","cerebrovascular disease","collection of basal ganglia",2
"mouse","brain ischemia","neuron associated cell",2
"mouse","brain ischemia","glial cell",2
"mouse","brain ischemia","microglial cell",2
"mouse","brain ischemia","glial cell (sensu Vertebrata)",2
"mouse","brain ischemia","central nervous system macrophage",2
"mouse","brain ischemia","neural cell",2
"mouse","cerebrovascular disease","microglial cell",2
"mouse","cerebrovascular disease","central nervous system macrophage",2
"human","oligodendroglioma","neuron associated cell",2
"human","oligodendroglioma","glial cell",2
"human","oligodendroglioma","glial cell (sensu Vertebrata)",2
"human","oligodendroglioma","neural cell",2
"mouse","frontotemporal dementia","pallium",2
"mouse","frontotemporal dementia","brain",2
"mouse","frontotemporal dementia","cerebral cortex",2
"mouse","frontotemporal dementia","cerebral hemisphere",2
"mouse","frontotemporal dementia","forebrain",2
"mouse","frontotemporal dementia","telencephalon",2
"mouse","frontotemporal dementia","regional part of brain",2
"mouse","frontotemporal dementia","brain gray matter",2
"mouse","frontotemporal dementia","cerebral hemisphere gray matter",2
"mouse","frontotemporal dementia","gray matter of telencephalon",2
"mouse","frontotemporal dementia","gray matter of forebrain",2
"human","supratentorial cancer","regional part of brain",2
"mouse","central nervous system disease","dorsal plus ventral thalamus",2
"mouse","nervous system disease","dorsal plus ventral thalamus",2
"human","mixed glioma","brain",2
"human","childhood medulloblastoma","metencephalon",2
"human","childhood medulloblastoma","hindbrain",2
"human","childhood medulloblastoma","cerebellum",2
"human","childhood medulloblastoma","regional part of brain",2
"human","childhood medulloblastoma","segmental subdivision of hindbrain",2
"human","central nervous system tuberculosis","pallium",2
"human","central nervous system tuberculosis","brain",2
"human","central nervous system tuberculosis","cerebral cortex",2
"human","central nervous system tuberculosis","cerebral hemisphere",2
"human","central nervous system tuberculosis","forebrain",2
"human","central nervous system tuberculosis","telencephalon",2
"human","central nervous system tuberculosis","regional part of brain",2
"human","central nervous system tuberculosis","brain gray matter",2
"human","central nervous system tuberculosis","cerebral hemisphere gray matter",2
"human","central nervous system tuberculosis","gray matter of telencephalon",2
"human","central nervous system tuberculosis","gray matter of forebrain",2
"mouse","Alzheimer's disease","macroglial cell",2
"mouse","Alzheimer's disease","astrocyte",2
"mouse","tauopathy","macroglial cell",2
"mouse","tauopathy","astrocyte",2
"human","gliosarcoma","brain",2
"human","epilepsy","neocortex",2
"mouse","brain cancer","pallium",2
"mouse","brain cancer","cerebral cortex",2
"mouse","brain cancer","cerebral hemisphere",2
"mouse","brain cancer","forebrain",2
"mouse","brain cancer","telencephalon",2
"mouse","brain cancer","brain gray matter",2
"mouse","brain cancer","cerebral hemisphere gray matter",2
"mouse","brain cancer","gray matter of telencephalon",2
"mouse","brain cancer","gray matter of forebrain",2
"mouse","glioblastoma multiforme","pallium",2
"mouse","glioblastoma multiforme","cerebral cortex",2
"mouse","glioblastoma multiforme","cerebral hemisphere",2
"mouse","glioblastoma multiforme","forebrain",2
"mouse","glioblastoma multiforme","telencephalon",2
"mouse","glioblastoma multiforme","regional part of brain",2
"mouse","glioblastoma multiforme","brain gray matter",2
"mouse","glioblastoma multiforme","cerebral hemisphere gray matter",2
"mouse","glioblastoma multiforme","gray matter of telencephalon",2
"mouse","glioblastoma multiforme","gray matter of forebrain",2
"mouse","astrocytoma","pallium",2
"mouse","astrocytoma","cerebral cortex",2
"mouse","astrocytoma","cerebral hemisphere",2
"mouse","astrocytoma","forebrain",2
"mouse","astrocytoma","telencephalon",2
"mouse","astrocytoma","regional part of brain",2
"mouse","astrocytoma","brain gray matter",2
"mouse","astrocytoma","cerebral hemisphere gray matter",2
"mouse","astrocytoma","gray matter of telencephalon",2
"mouse","astrocytoma","gray matter of forebrain",2
"mouse","malignant glioma","pallium",2
"mouse","malignant glioma","cerebral cortex",2
"mouse","malignant glioma","cerebral hemisphere",2
"mouse","malignant glioma","forebrain",2
"mouse","malignant glioma","telencephalon",2
"mouse","malignant glioma","regional part of brain",2
"mouse","malignant glioma","brain gray matter",2
"mouse","malignant glioma","cerebral hemisphere gray matter",2
"mouse","malignant glioma","gray matter of telencephalon",2
"mouse","malignant glioma","gray matter of forebrain",2
"mouse","central nervous system disease","postnatal subventricular zone",2
"mouse","central nervous system cancer","pallium",2
"mouse","central nervous system cancer","cerebral cortex",2
"mouse","central nervous system cancer","cerebral hemisphere",2
"mouse","central nervous system cancer","forebrain",2
"mouse","central nervous system cancer","telencephalon",2
"mouse","central nervous system cancer","brain gray matter",2
"mouse","central nervous system cancer","cerebral hemisphere gray matter",2
"mouse","central nervous system cancer","gray matter of telencephalon",2
"mouse","central nervous system cancer","gray matter of forebrain",2
"mouse","nervous system disease","postnatal subventricular zone",2
"mouse","brain disease","postnatal subventricular zone",2
"human","synucleinopathy","locus ceruleus",2
"human","synucleinopathy","pontine tegmentum",2
"human","neurodegenerative disease","locus ceruleus",2
"human","neurodegenerative disease","pontine tegmentum",2
"human","Parkinson's disease","locus ceruleus",2
"human","Parkinson's disease","pontine tegmentum",2
"human","central nervous system disease","locus ceruleus",2
"human","central nervous system disease","pontine tegmentum",2
"human","nervous system disease","locus ceruleus",2
"human","nervous system disease","pontine tegmentum",2
"human","epilepsy","neuron associated cell",2
"human","epilepsy","glial cell",2
"human","epilepsy","microglial cell",2
"human","epilepsy","glial cell (sensu Vertebrata)",2
"human","epilepsy","central nervous system macrophage",2
"human","epilepsy","neural cell",2
"human","central nervous system disease","microglial cell",2
"human","central nervous system disease","central nervous system macrophage",2
"human","nervous system disease","microglial cell",2
"human","nervous system disease","central nervous system macrophage",2
"human","brain disease","microglial cell",2
"human","brain disease","central nervous system macrophage",2
"human","epilepsy","limbic system",2
"human","epilepsy","limbic lobe",2
"human","epilepsy","lobe of cerebral hemisphere",2
"human","brain disease","gyrus",2
"mouse","leukodystrophy","brain",2
"mouse","cerebral degeneration","brain",2
"mouse","central nervous system disease","olfactory bulb",2
"mouse","nervous system disease","olfactory bulb",2
"human","spinal muscular atrophy","motor neuron",2
"human","spinal muscular atrophy","efferent neuron",2
"human","spinal muscular atrophy","neuron",2
"human","spinal muscular atrophy","neural cell",2
"human","cerebral ventricle cancer","brain",2
"human","cerebrum cancer","brain",2
"mouse","Huntington's disease","hippocampal formation",2
"human","Alzheimer's disease","temporal cortex",2
"human","neurodegenerative disease","temporal cortex",2
"human","central nervous system disease","temporal cortex",2
"human","tauopathy","temporal cortex",2
"human","nervous system disease","temporal cortex",2
"mouse","multiple sclerosis","neural cell",2
"mouse","demyelinating disease","neural cell",2
"human","central nervous system benign neoplasm","metencephalon",2
"human","central nervous system benign neoplasm","hindbrain",2
"human","central nervous system benign neoplasm","cerebellum",2
"human","central nervous system benign neoplasm","segmental subdivision of hindbrain",2
"human","benign glioma","cerebral hemisphere",2
"human","benign glioma","forebrain",2
"human","benign glioma","telencephalon",2
"human","benign glioma","metencephalon",2
"human","benign glioma","hindbrain",2
"human","benign glioma","cerebellum",2
"human","benign glioma","regional part of brain",2
"human","benign glioma","segmental subdivision of hindbrain",2
"human","spinal cord disease","cerebral hemisphere",2
"human","spinal cord disease","forebrain",2
"human","spinal cord disease","telencephalon",2
"human","spinal cord disease","metencephalon",2
"human","spinal cord disease","hindbrain",2
"human","spinal cord disease","cerebellum",2
"human","spinal cord disease","regional part of brain",2
"human","spinal cord disease","segmental subdivision of hindbrain",2
"human","benign ependymoma","cerebral hemisphere",2
"human","benign ependymoma","forebrain",2
"human","benign ependymoma","telencephalon",2
"human","benign ependymoma","metencephalon",2
"human","benign ependymoma","hindbrain",2
"human","benign ependymoma","cerebellum",2
"human","benign ependymoma","regional part of brain",2
"human","benign ependymoma","segmental subdivision of hindbrain",2
"human","ganglioglioma","brain",2
"human","central nervous system benign neoplasm","pallium",2
"human","central nervous system benign neoplasm","cerebral cortex",2
"human","central nervous system benign neoplasm","brain gray matter",2
"human","central nervous system benign neoplasm","cerebral hemisphere gray matter",2
"human","central nervous system benign neoplasm","gray matter of telencephalon",2
"human","central nervous system benign neoplasm","gray matter of forebrain",2
"mouse","brain disease","hippocampal field",2
"mouse","brain disease","CA1 field of hippocampus",2
"human","pilocytic astrocytoma","brain gray matter",2
"human","pilocytic astrocytoma","gray matter of forebrain",2
"human","Alzheimer's disease","Ammon's horn",2
"human","neurodegenerative disease","Ammon's horn",2
"human","tauopathy","Ammon's horn",2
"mouse","hereditary ataxia","CNS neuron (sensu Vertebrata)",2
"mouse","hereditary ataxia","Purkinje cell",2
"mouse","hereditary ataxia","efferent neuron",2
"mouse","hereditary ataxia","neuron",2
"mouse","hereditary ataxia","neural cell",2
"mouse","hereditary ataxia","cerebellar neuron",2
"mouse","hereditary ataxia","central nervous system neuron",2
"mouse","hereditary ataxia","cerebellar cortex",2
"mouse","hereditary ataxia","gray matter of hindbrain",2
"mouse","neurodegenerative disease","Purkinje cell",2
"mouse","neurodegenerative disease","cerebellar neuron",2
"mouse","neurodegenerative disease","cerebellar cortex",2
"mouse","neurodegenerative disease","gray matter of hindbrain",2
"mouse","central nervous system disease","Purkinje cell",2
"mouse","central nervous system disease","cerebellar neuron",2
"mouse","central nervous system disease","cerebellar cortex",2
"mouse","central nervous system disease","gray matter of hindbrain",2
"mouse","nervous system disease","Purkinje cell",2
"mouse","nervous system disease","cerebellar neuron",2
"mouse","nervous system disease","cerebellar cortex",2
"mouse","nervous system disease","gray matter of hindbrain",2
"rat","neurodegenerative disease","glial cell",2
"rat","neurodegenerative disease","macroglial cell",2
"rat","neurodegenerative disease","astrocyte",2
"rat","neurodegenerative disease","glial cell (sensu Vertebrata)",2
"rat","central nervous system disease","glial cell",2
"rat","central nervous system disease","macroglial cell",2
"rat","central nervous system disease","astrocyte",2
